ut,muf_tot,muf_in,fg_in,fg_out,P3,dp16,dp40,P_in
0.00001507,0.64306,0.64306,0.21082,0.2298,81.225,7.35,9.8,89.8
0.000015237,0.69314,0.69314,0.31228,0.33858,81.335,8.01,10.68,90.68
0.000015393,0.73235,0.73235,0.41222,0.4434,81.425,8.55,11.4,91.4
0.000015539,0.76238,0.76238,0.51109,0.54434,81.4975,8.985,11.98,91.98
0.000015642,0.83769,0.83769,0.60755,0.64188,81.65625,9.9375,13.25,93.25
0.000015841,0.78343,0.78343,0.70804,0.73598,81.56875,9.4125,12.55,92.55
0.000016172,0.62677,0.62677,0.8098,0.82694,81.28125,7.6875,10.25,90.25
0.000016635,0.41671,0.41671,0.90844,0.91491,80.87625,5.2575,7.01,87.01
0.000017165,0.14691,0.14691,0.95658,0.95781,80.31875,1.9125,2.55,82.55
0.000017333,0.092993,0.092993,0.98288,0.9832,80.20375,1.2225,1.63,81.63
