ut,muf_tot,muf_in,fg_in,fg_out,dp16,dp40,P_in
0.000015099,0.54163,0.85797,0.21356,0.2298,6.55,8.27,88.27
0.000015285,0.58099,0.92131,0.31617,0.33858,7.12,8.98,88.98
0.000015453,0.62649,1.0009,0.41633,0.4434,7.82,9.79,89.79
0.00001559,0.68948,1.1037,0.51399,0.54434,8.7,10.87,90.87
0.000015707,0.75834,1.2088,0.6105,0.64188,9.6,12.045,92.045
0.000015825,0.80082,1.2617,0.70747,0.73598,10.095,12.815,92.815
0.000015896,0.87407,1.2946,0.80367,0.82694,10.405,14.05,94.05
0.000016134,0.79556,1.2209,0.90304,0.91491,9.96,12.98,92.98
0.000016812,0.3691,0.60291,0.95479,0.95781,5.125,6.275,86.275
0.000017248,0.14219,0.21385,0.98271,0.9832,1.865,2.48,82.48
