u_in,u_out,muf_tot,sw_ave,muf_in,muf_out,fg_in,fg_out,p_back,dp_ss
0.00000713,0.0000155,1.15,NA,1.53,0.706,0.794,0.905,620000,9.10E+005
0.00000822,0.0000154,0.974,NA,1.23,0.656,0.642,0.809,620000,8.40E+005
0.00000906,0.0000153,0.912,NA,1.1,0.651,0.513,0.712,620000,8.30E+005
0.0000112,0.0000151,0.616,NA,0.688,0.508,0.342,0.514,620000,6.40E+005
0.0000066,0.0000155,1.24,NA,1.71,0.728,0.889,0.953,620000,9.40E+005
0.00000835,0.0000155,0.609,NA,0.791,0.425,0.97,0.984,620000,5.50E+005
0.00000989,0.0000152,0.857,NA,0.995,0.647,0.406,0.614,620000,8.20E+005
0.0000116,0.000015,0.72,NA,0.786,0.607,0.24,0.414,620000,7.60E+005
0.00000672,0.0000155,1.25,NA,1.72,0.741,0.847,0.934,620000,9.60E+005
0.00000777,0.0000154,1.02,NA,1.31,0.662,0.716,0.857,620000,8.50E+005
0.0000124,0.000015,0.673,NA,0.716,0.594,0.171,0.312,620000,7.40E+005
